"STAID"	"SiteIndex"	"DRAIN_SQKM"	"HUC02"	"LAT_GAGE"	"LNG_GAGE"	"STATE"	"BOUND_SOURCE"	"CLASS"	"AGGECOREGION"	"HYDRO_DISTURB_INDX"	"nobs_TP_2019"	"nobs_TP_2012"	"mean_TP_2019"	"mean_TP_2012"	"nobs_Q"	"nobs_Q_2012"	"nobs_Q_pct"	"nobs_Q_2012_pct"
"02266500"	1780	488.4	"03"	28.263623	-81.536462	"FL"	1	"Non-ref"	"SECstPlain"	29	110	110	0.1902	0.1902	12584	11032	86.13	91.52
"02269520"	1786	307	"03"	27.70864	-81.44646	"FL"	1	"Non-ref"	"SECstPlain"	19	81	81	0.0799	0.0799	10533	7977	72.09	66.18
"02270500"	1788	982.2	"03"	27.442538	-81.297293	"FL"	1	"Non-ref"	"SECstPlain"	19	212	212	0.1167	0.1167	14454	11988	98.93	99.45
"02273000"	1790	5876	"03"	27.22588	-80.962564	"FL"	4	"Non-ref"	"SECstPlain"	27	101	101	0.0952	0.0952	7959	7959	54.48	66.03
"02294650"	1811	1031	"03"	27.902248	-81.817304	"FL"	1	"Non-ref"	"SECstPlain"	39	106	106	1.6358	1.6358	14535	11979	99.49	99.38
"02294898"	1815	1246.4	"03"	27.751419	-81.782027	"FL"	1	"Non-ref"	"SECstPlain"	40	103	103	1.299	1.299	14610	12054	100	100
"02295420"	1818	315.6	"03"	27.62059	-81.825638	"FL"	1	"Non-ref"	"SECstPlain"	34	110	110	0.7958	0.7958	14610	12054	100	100
"02295637"	1819	2280.1	"03"	27.504483	-81.800916	"FL"	3	"Non-ref"	"SECstPlain"	37	97	97	1.2782	1.2782	14610	12054	100	100
"02296500"	1822	886.4	"03"	27.375043	-81.796471	"FL"	1	"Ref"	"SECstPlain"	16	71	71	0.5656	0.5656	14610	12054	100	100
"02296750"	1823	3436	"03"	27.222271	-81.875917	"FL"	4	"Non-ref"	"SECstPlain"	34	158	158	0.9978	0.9978	14610	12054	100	100
"02297310"	1827	528.4	"03"	27.199495	-81.988419	"FL"	1	"Ref"	"SECstPlain"	24	107	107	0.4669	0.4669	14207	11651	97.24	96.66
"02298123"	1829	540.7	"03"	27.052	-81.784527	"FL"	1	"Ref"	"SECstPlain"	18	92	92	0.0965	0.0965	14610	12054	100	100
"02298830"	1837	588.6	"03"	27.240605	-82.313704	"FL"	3	"Non-ref"	"SECstPlain"	21	91	91	0.4077	0.4077	14361	11807	98.3	97.95
"02299950"	1842	174.3	"03"	27.473651	-82.211201	"FL"	1	"Ref"	"SECstPlain"	29	132	90	0.4642	0.4734	14610	12054	100	100
"02300100"	1849	95.8	"03"	27.704754	-82.197867	"FL"	1	"Non-ref"	"SECstPlain"	28	157	157	0.5587	0.5587	14407	11893	98.61	98.66
"02300700"	1853	73.8	"03"	27.791972	-82.352037	"FL"	4	"Ref"	"SECstPlain"	14	156	156	0.2858	0.2858	14601	12045	99.94	99.93
"02301000"	1855	346.8	"03"	27.883915	-82.100087	"FL"	1	"Non-ref"	"SECstPlain"	33	176	176	3.762	3.762	13607	11051	93.13	91.68
"02301300"	1857	281.4	"03"	27.796695	-82.117588	"FL"	1	"Non-ref"	"SECstPlain"	34	169	169	0.9111	0.9111	14566	12010	99.7	99.63
"02301500"	1858	868.3	"03"	27.872248	-82.211201	"FL"	3	"Non-ref"	"SECstPlain"	36	114	114	2.818	2.818	14610	12054	100	100
"02301990"	1864	238.9	"03"	28.185567	-82.183974	"FL"	1	"Ref"	"SECstPlain"	17	109	109	0.1271	0.1271	13241	10685	90.63	88.64
"02302500"	1866	242.9	"03"	28.14057	-82.149807	"FL"	1	"Non-ref"	"SECstPlain"	33	173	173	0.7495	0.7495	14352	11796	98.23	97.86
"02303000"	1867	618.7	"03"	28.150013	-82.232309	"FL"	1	"Non-ref"	"SECstPlain"	31	199	199	0.2936	0.2936	14608	12052	99.99	99.98
"02303330"	1870	985	"03"	28.097516	-82.312312	"FL"	1	"Non-ref"	"SECstPlain"	30	138	138	0.3118	0.3118	14308	11752	97.93	97.49
"02303350"	1871	42	"03"	28.134722	-82.361944	"FL"	3	"Non-ref"	"SECstPlain"	14	102	102	0.1522	0.1522	10913	8726	74.7	72.39
"02303800"	1874	407.8	"03"	28.089183	-82.408982	"FL"	1	"Non-ref"	"SECstPlain"	20	126	126	0.0775	0.0775	12632	10230	86.46	84.87
"02307000"	1881	112.2	"03"	28.036962	-82.57593	"FL"	4	"Non-ref"	"SECstPlain"	27	86	86	0.3248	0.3248	14505	11953	99.28	99.16
"02308935"	1887	6.7	"03"	27.814192	-82.695655	"FL"	1	"Non-ref"	"SECstPlain"	19	82	82	0.1009	0.1009	9128	7155	62.48	59.36
"02310000"	1891	177.6	"03"	28.214178	-82.666488	"FL"	4	"Non-ref"	"SECstPlain"	18	99	99	0.0718	0.0718	14609	12054	99.99	100
"02310947"	1897	649.6	"03"	28.311952	-82.055915	"FL"	1	"Ref"	"SECstPlain"	14	213	213	0.0844	0.0844	12522	10050	85.71	83.37
"02312500"	1902	1970.2	"03"	28.592771	-82.222032	"FL"	1	"Non-ref"	"SECstPlain"	18	109	109	0.0839	0.0839	14297	11741	97.86	97.4
"02312600"	1905	2508.5	"03"	28.7436	-82.220089	"FL"	1	"Non-ref"	"SECstPlain"	20	89	89	0.0719	0.0719	12087	9531	82.73	79.07
"02318500"	1924	3863.7	"03"	30.793056	-83.453611	"GA"	4	"Non-ref"	"SEPlains"	18	315	315	0.2768	0.2768	11025	8469	75.46	70.26
"02320500"	1932	20347	"03"	29.955785	-82.927628	"FL"	4	"Non-ref"	"SEPlains"	18	90	90	0.1791	0.1791	14610	12054	100	100
"02329000"	1958	2966.8	"03"	30.554086	-84.384072	"FL"	4	"Non-ref"	"SEPlains"	15	98	98	0.1993	0.1993	14610	12054	100	100
