LakeID,n_year_epiTP,n_year_hypoTP,n_year_hypoDO,LakeName,Country,StateOrProvince,Latitude_DD,Longitude_DD,MaximumDepth_m,MeanDepth_m,SurfaceArea_ha,Elevation_m,hylak_id,Available?,Region?
WI-493063,10,0,9,Deer Lake,USA,Wisconsin,45.4052708,-92.5127853,14.0208,7.9248,317.880853,337,108987,yes,drainage_region_0001_v2-1
WI-513126,10,1,0,Round Lake,USA,Wisconsin,45.92111,-90.0739,7.3152,4.8768,302.7253623,472,108229,yes,drainage_region_0001_v2-1
WI-563058,10,0,8,Bass Lake,USA,Wisconsin,45.0688863,-92.6494533,10.0584,4.9,149.72572628,269,109465,yes,drainage_region_0001_v2-1
WI-583046,10,0,15,Lac Courte Oreilles,USA,Wisconsin,45.8977,-91.39703,27.432,10.3632,2079.85536898,390,NA,,
WI-593044,10,0,10,Grass Lake,USA,Wisconsin,44.69164,-88.670715,15.8496,4.2672,36.3003342,244,109954,no,
WI-673225,10,0,2,Lake Five,USA,Wisconsin,43.1949925,-88.2738905,7.0104,4,41.98212564,296,1048988,yes,drainage_region_0001_v2-1
WI-693025,10,0,9,School Section Lake,USA,Wisconsin,44.5498978,-88.9292879,11.5824,8.5344,15.59255158,254,1044577,no,
WI-703027,10,0,7,Marl Lake,USA,Wisconsin,44.1091602,-89.3883441,10.668,4.8768,11.17338046,309,1046472,no,
31,7,7,21,Lake Mendota,USA,Wisconsin,43.1113,-89.4255,25.3,4.8,3961,258,9086,yes,drainage_region_0001_v2-1
32,7,7,21,Lake Monona,USA,Wisconsin,43.0678,-89.3626,22.5,6.6,1324,257,9087,yes,drainage_region_0001_v2-1
